state_code,population_age_median,population_total_count,population_18yr_over_count,population_25yr_over_count,population_25yr_over_with_bachelor_degree_count,population_18_34yr_over_count,population_25_64yr_over_count,population_65yr_over_count,population_bachelors_count,population_graduate_count,population_household_type_total_count,population_household_income_family_median,population_household_income_earnings_median,population_employment_total_count,population_employed_count,population_unemployed_count,housing_units_occupancy_status_total_count,housing_units_occupied_count,housing_units_vacant_count,housing_units_vacancy_status_total_count,housing_units_for_rent_count,housing_units_rented_count,housing_units_for_sale_count,housing_units_sold_count,number_of_rooms_median,number_of_units_total_count,construction_year_median,contract_rent_median,home_value_lower_quartile,home_value_median,home_value_upper_quartile,housing_units_mortgage_status_total_count,housing_cost_real_estate_taxes_median,housing_cost_monthly_median,gross_rent_median,household_income_median,household_income_mean,household_income_under_10k_count,household_income_10k_15k_count,household_income_15k_20k_count,household_income_20k_25k_count,household_income_25k_30k_count,household_income_30k_35k_count,household_income_35k_40k_count,household_income_40k_45k_count,household_income_45k_50k_count,household_income_50k_60k_count,household_income_60k_75k_count,household_income_75k_100k_count,household_income_100k_125k_count,household_income_125k_150k_count,household_income_150k_200k_count,household_income_200k_over_count,families_total_count
09,41.2,3598348,2864350,2532853,581935,727256,1413608,629100,581935,480468,3598348,120011,51475,2955944,1835455,109838,1536049,1420170,115879,115879,23288,4702,8931,5768,5.6,1536049,1967,1210,235500,343200,498500,939912,6575,1687,1431,93760,135332,62645,45190,37711,41709,40865,38908,39952,41449,40907,77283,112674,169983,141642,111817,158611,258824,917140
13,37.4,10822590,8280518,7253060,1503574,2376480,4114195,1542490,1503574,977333,10822590,90337,42039,8582918,5130869,276950,4483873,4008013,475860,475860,101196,19840,32656,19537,5.9,4483873,1991,1091,166100,272900,426300,2619529,2214,1277,1306,74664,103618,213181,143011,133872,146375,144362,144016,147980,148734,142606,267880,380023,526478,395918,283766,349229,440582,2661506
21,39.1,4510725,3487979,3078157,489842,935824,1688886,743545,489842,341014,4510725,79436,39274,3605426,2032890,103267,2010655,1791991,218664,218664,30409,6629,12479,8313,5.7,2010655,1982,734,109000,192300,298200,1223574,1472,930,933,62417,86119,107781,96683,74885,78053,78060,75323,75866,74634,72729,129216,176470,230374,169231,113471,119360,119855,1149829
25,40,6992395,5623987,4945630,1249640,1508750,2709326,1177631,1249640,1056259,6992395,128134,55417,5791845,3687020,199882,3014657,2762070,252587,252587,36181,10675,11047,12532,5.5,3014657,1963,1482,353000,525800,753300,1728986,5813,1899,1687,101341,140991,119101,97443,77973,77544,73019,68402,71220,70760,70319,133222,202761,303224,266007,222468,326064,582543,1728134
26,40.1,10051595,7896802,6967452,1343511,2140210,3770112,1775671,1343511,869593,10051595,90947,41442,8155338,4712135,290715,4599683,4040168,559515,559515,58335,13471,27620,21872,5.8,4599683,1972,891,124700,217600,340400,2946157,2795,1081,1084,71149,96299,203820,159020,136041,149652,151450,154685,161047,162867,153195,289395,395104,541255,402433,280881,336160,363163,2534852
35,39.2,2114768,1648151,1450999,240734,455199,760979,390302,240734,197494,2114768,76143,36730,1705686,912332,58121,949524,825021,124503,124503,16660,3463,6424,4459,5.3,949524,1984,871,132500,232200,364000,572064,1669,963,1021,62125,85549,54272,43018,37698,37564,35329,34878,33831,31436,31191,60674,79497,102241,73365,51409,59706,58912,506504
47,38.9,6986082,5428076,4805533,913559,1509164,2631288,1141338,913559,546942,6986082,84212,40879,5612667,3301152,164163,3095472,2768743,326729,326729,60642,12867,18415,13954,5.7,3095472,1986,893,150700,256800,406600,1855793,1400,1055,1122,67097,93479,143765,117423,103282,113254,108338,110083,112796,116129,113373,210533,271492,366221,267810,186505,197910,229829,1784991
49,31.7,3331187,2387055,2003084,486239,839692,1115326,380678,486239,253316,3331187,105513,41786,2498070,1673539,59150,1193082,1094896,98186,98186,19212,3368,3975,3160,6.4,1193082,1991,1265,322900,455000,655100,773345,2412,1491,1405,91750,117307,33918,22999,22352,24376,28040,30333,33072,32113,35150,69627,104883,159368,134089,102926,124090,137560,801260
45,40.1,5212774,4085712,3610374,701835,1064012,1945463,940927,701835,434373,5212774,83579,40213,4216865,2388777,124521,2401638,2070390,331248,331248,54196,10016,15717,8918,5.7,2401638,1991,904,130000,236700,380700,1478858,1199,1041,1126,66818,92833,122382,81966,77121,84310,81625,83492,87115,83552,84905,154155,202917,267740,196971,136731,154304,171104,1345281
55,40.1,5892023,4617713,4069583,879907,1212234,2239522,1026554,879907,453221,5892023,97261,45127,4771274,3018918,102659,2750750,2446028,304722,304722,38701,7265,10430,5315,5.6,2750750,1975,884,163600,247400,371700,1660505,3746,1135,1045,75670,99059,98678,77536,70820,81651,95980,84381,87566,90286,89284,192501,243842,342136,274026,188014,218631,210696,1492401
01,39.3,5054253,3926252,3448302,584986,1056574,1877716,857582,584986,372095,5054253,80385,38897,4056609,2229912,112849,2316192,1969105,347087,347087,48861,11733,16037,15225,5.8,2316192,1985,721,104800,195100,313800,1377062,738,917,963,62027,86225,123101,98228,87955,93196,84945,85636,80349,80674,78469,143050,187272,246978,175312,124218,138831,140891,1274643
10,41.5,1005872,795476,710442,144339,199255,376497,196990,144339,106287,1005872,102219,45069,820630,481728,25640,457958,396209,61749,61749,5616,1219,2705,1667,6.2,457958,1986,1154,225200,326800,459200,286340,1731,1342,1341,82855,109519,16003,11229,10934,11154,12123,12943,13842,14575,13365,26848,36686,54248,41828,32307,42427,45697,257555
19,38.6,3195937,2459358,2140476,441400,660026,1160778,541810,441400,219219,3195937,94472,42607,2547553,1629641,61411,1427175,1303763,123412,123412,22918,5981,8621,5755,5.9,1427175,1971,775,117000,195900,302500,932618,2795,1023,949,73147,95968,52437,44479,44206,46647,46373,48924,50787,51146,50397,97655,134255,183491,142501,97398,108899,104168,806728
29,38.9,6168181,4781610,4217432,824697,1294418,2286690,1039057,824697,520533,6168181,88759,41514,4945676,2974499,127719,2809501,2484834,324667,324667,42161,9346,16517,17049,5.7,2809501,1978,786,127000,215600,336000,1688072,1887,1030,996,68920,93797,120477,98937,91069,97217,97412,98968,102836,101311,98558,184381,250629,329782,248977,170548,192466,201266,1551913
39,39.6,11780046,9169867,8123344,1545678,2455804,4401455,2023917,1545678,968451,11780046,90288,42229,9477782,5694732,290011,5271573,4829571,442002,442002,73190,17425,28231,21013,5.9,5271573,1970,795,120900,199200,310300,3235568,2712,1042,988,69680,94766,249754,197223,170853,188860,185571,188666,190053,194028,189301,348966,477428,635269,481997,333957,384718,412927,2971285
