number of properties,property name,originator,street address,property city,property state,zip code,county,property type,property subtype,year built,year renovated,total units,cut-off date balanceunit,unit of measure,occupancy %,occupancy as of date,"loan purpose (acquisition, refinance)",payment date,late charge grace period,note date,first payment date,maturity date,original loan amount,cut-off date loan amount,maturity balance,gross interest rate,net mortgage interest rate,accrual basis,loan amortization type,monthly debt service amount (amortizing),amortization term (original),amortization term (remaining),loan term (original),loan term (remaining),io period,seasoning,prepayment provision,appraisal valuation date,appraised value,cut-off date ltv,maturity ltv,uw ncf dscr,uw ncf dscr (io),uw egi,uw expenses,uw noi,uw ncf,most recent financial end date,most recent egi,most recent expenses,most recent noi,most recent ncf,2nd most recent financial end date,2nd most recent egi,2nd most recent expenses,2nd most recent noi,2nd most recent ncf,3rd most recent financial end date,3rd most recent egi,3rd most recent expenses,3rd most recent noi,3rd most recent ncf,lien position,title vesting (feeleaseholdboth),tax escrow (monthly),insurance escrow (monthly),replacement reserve (monthly),monthly rent per unit,secondary financing in place (existing) (yesno),future supplemental financing description,loan no property no,related borrower loans,% of cut-off date pool balance,springing reserve type,springing reserve amount,deal_name,interest adjustment period (months),first interest adjustment date in trust,rate index,margin,rate rounding methodology,interest accrual period day of month (startend),monthly debt service amount (io),monthly debt service amount (at cap),seismic insurance if pml >= 20% (yesno),additional financing in place (existing) (yesno),future supplemental financing (yesno),low income units,very low income units,loan group,entity type,borrower type,balance after fixed rate period,maximum interest adjustment (lifetime),zoning status,title vesting (feeleasehold),administration fee rate,latitude,longitude
1,College Park Apartments,,250 North College Park Drive,Upland,CA,91786,San Bernardino,Multifamily,Garden,2009,,448,248794.64,Units,0.953,2022-11-16 00:00:00,Refinance,1,10,2022-12-30 00:00:00,2023-02-01 00:00:00,2033-01-01 00:00:00,111460000,111460000,111460000,0.0573,0.056090499999999995,Actual/360,Interest Only,539613.47,0,0,120,118,120,2,L(26) D(90) O(4),2022-11-04 00:00:00,194700000,0.572,0.572,1.5,1.5,13619199.05,3744640.5,9874558.55,9735571.03,11/30/2022,12965528,3116014,9849514,9524334,12/31/2021,11896354,2978675,8917679,8699659,12/31/2020,12942928,3346304,9596624,9226151,First Mortgage,Fee Simple,,,11582,2606,,(i) Max combined LTV of 60.0% (ii) Min combined DSCR of 1.25x,,,0.09339626006533185,,,FREMF_2023-K154,,,,,,,539613.47,,No,No,Yes,,,,,,,,,,0.0012095,34.09685,-117.70063
1,Opal Legacy Central,,6500 Excellence Way,Plano,TX,75023,Collin,Multifamily,Mid Rise,2021,,310,164058.06,Units,0.932,2022-12-31 00:00:00,Acquisition,1,10,2021-10-14 00:00:00,2021-12-01 00:00:00,2032-11-01 00:00:00,50858000,50858000,49836422.27,0.0308,0.029590500000000002,Actual/360,Partial IO,216619.92,360,360,132,116,120,16,L(40) D(88) O(4),2022-03-13 00:00:00,100800000,0.505,0.494,1.55,2.54,5635245.05,1520837.8,4114407.25,4036907.25,12/31/2022,5999414.4,1949742,4049672.4,4049672.4,2021-08-31 00:00:00,608835.27,1082094.1,-473258.8300000001,-473258.83,,,,,,First Mortgage,Fee Simple and Leasehold,,,6458.33,1720.89,,(i) Max combined LTV of 75.0% (ii) Min combined DSCR of 1.25x,,,0.04261570962141259,,,FREMF_2023-K154,,,,,,,132348.53,,No,No,Yes,,,,,,,,,,0.0012095,33.06168,-96.69248
1,The Loree,,8649 A C Skinner Parkway,Jacksonville,FL,32256,Duval,Multifamily,Garden,2016,,300,160350,Units,0.937,2022-10-25 00:00:00,Acquisition,1,10,2022-11-14 00:00:00,2023-01-01 00:00:00,2032-12-01 00:00:00,48105000,48105000,45537458.06,0.0567,0.0555905,Actual/360,Partial IO,278287.77,360,360,120,117,72,3,L(27) D(89) O(4),2022-09-19 00:00:00,84900000,0.567,0.536,1.25,1.51,6492324.29,2271705.11,4220619.18,4175619.18,2022-08-31 00:00:00,6056782.79,2540323.37,3516459.42,3516459.42,12/31/2021,5437818.84,2301412.11,3136406.73,3136406.73,12/31/2020,4974528.86,2137238.42,2837290.44,2837290.44,First Mortgage,Fee Simple,,,3750,1759,,(i) Max combined LTV of 60.0% (ii) Min combined DSCR of 1.25x,,,0.040308873949782775,,,FREMF_2023-K154,,,,,,,230453.02,,No,No,Yes,,,,,,,,,,0.0011095,30.24744,-81.56059
1,Apex At South Creek,,3060 Southcreek Boulevard,Orlando,FL,32824,Orange,Multifamily,Garden,2021,,300,153313.33,Units,0.947,2022-10-09 00:00:00,Acquisition,1,10,2022-11-18 00:00:00,2023-01-01 00:00:00,2032-12-01 00:00:00,45994000,45994000,42724863.97,0.0548,0.0534905,Actual/360,Partial IO,260572.02,360,360,120,117,60,3,L(27) D(89) O(4),2022-08-19 00:00:00,101100000,0.455,0.423,1.35,1.65,7294776.01,2998441.4,4296334.61,4221334.61,2022-09-30 00:00:00,3437557,1121523,2316034,2316034,,,,,,,,,,,First Mortgage,Fee Simple,,,6250,2006,,(i) Max combined LTV of 50.0% (ii) Min combined DSCR of 1.25x,,,0.03853999269195113,,,FREMF_2023-K154,,,,,,,212956.48,,No,No,Yes,,,,,,,,,,0.0013095000000000001,28.36555,-81.36967
1,Emerson Park,,1799 FM 528 Road,Webster,TX,77598,Harris,Multifamily,Garden,2008,2022,354,116172.32,Units,0.929,2022-10-06 00:00:00,Acquisition,1,10,2022-11-14 00:00:00,2023-01-01 00:00:00,2032-12-01 00:00:00,41125000,41125000,39064782.57,0.0438,0.0424905,Actual/360,Partial IO,191581.89,420,420,120,117,72,3,L(27) D(89) O(4),2022-07-01 00:00:00,71100000,0.578,0.549,1.25,1.57,5887623.97,2960601.35,2927022.62,2873922.62,2022-08-31 00:00:00,5554491,2360091,3194400,3194400,12/31/2021,5214299,2281528,2932771,2932771,12/31/2020,5005173,2314549,2690624,2690624,First Mortgage,Fee Simple,,,4425,1319,,(i) Max combined LTV of 60.0% (ii) Min combined DSCR of 1.25x,,Group 1,0.034460086086369746,,,FREMF_2023-K154,,,,,,,152191.06,,No,No,Yes,,,,,,,,,,0.0013095000000000001,29.52238,-95.14142
1,Olmsted Savannah,,601 Indian Street,Savannah,GA,31401,Chatham,Multifamily,Mid Rise,2021,,163,244987.73,Units,0.95,2022-12-09 00:00:00,Refinance,1,10,2023-01-24 00:00:00,2023-03-01 00:00:00,2033-02-01 00:00:00,39933000,39933000,37118409.77,0.0553,0.053990500000000004,Actual/360,Partial IO,227487.39,360,360,120,119,60,1,L(25) D(91) O(4),2022-12-02 00:00:00,74300000,0.537,0.5,1.27,1.54,4855882.16,1376663.9,3479218.26,3454116.26,11/30/2022,3172093.21,1845836.94,1326256.27,1326256.27,12/31/2021,29716.29,172240.82,-142524.53,-142524.53,,,,,,First Mortgage,Fee Simple,,,2092,2482.06,,"(i) Max combined LTV of 60.0% (ii) Min combined DSCR of 1.25x (iii) EGI of $5,001,558 and NOI of $3,557,739",,,0.03346126729938002,,,FREMF_2023-K154,,,,,,,186580.47,,No,No,Yes,,,,,,,,,,0.0013095000000000001,32.0842,-81.09957
1,Sterling Hills Apartments,,6115 North Davis Highway,Pensacola,FL,32504,Escambia,Multifamily,Garden,1970,2021,194,108675.26,Units,0.979,2022-12-31 00:00:00,Refinance,1,10,2022-12-01 00:00:00,2023-01-01 00:00:00,2032-12-01 00:00:00,21083000,21083000,20130435.94,0.0588,0.057590499999999996,Actual/360,Partial IO,118518.91,420,420,120,117,60,3,L(27) D(89) O(4),2022-10-27 00:00:00,33500000,0.629,0.601,1.2,1.36,3249512.63,1500149.65,1749362.98,1706682.98,12/31/2022,3201955.31,1349668.17,1852287.14,1149568.65,12/31/2021,2889492.42,1195606.55,1693885.87,1351550.66,12/31/2020,2374094.74,973752.65,1400342.09,1393872.07,First Mortgage,Fee Simple,,,3556.67,1235.21,,(i) Max combined LTV of 65.0% (ii) Min combined DSCR of 1.25x,,Group 2,0.0176661883272689,,,FREMF_2023-K154,,,,,,,104741.52,,No,No,Yes,,,,,,,,,,0.0012095,30.48542,-87.22277
1,Sandstone Apartments,,5101 Sanger Avenue,Waco,TX,76710,McLennan,Multifamily,Garden,1985,,256,77250,Units,0.941,2022-10-27 00:00:00,Acquisition,1,10,2022-11-17 00:00:00,2023-01-01 00:00:00,2032-12-01 00:00:00,19776000,19776000,19008369.28,0.0567,0.0551905,Actual/360,Partial IO,114404.3,360,360,120,117,84,3,L(27) D(89) O(4),2022-09-19 00:00:00,27400000,0.722,0.694,1.3,1.57,2925716.48,1059094.04,1866622.44,1782036.02,2022-09-30 00:00:00,2851545.38,1457463.59,1394081.79,1394081.79,12/31/2021,2702967.97,1411158.66,1291809.31,1291809.31,12/31/2020,2510862.66,1307319.93,1203542.73,1203542.73,First Mortgage,Fee Simple and Leasehold,,,7048.87,997,,"(i) Max combined LTV of 80.0% (ii) Min combined DSCR of 1.25x (iii) EGI of $3,657,145 and NOI of $2,227,545",,,0.016571006989520926,,,FREMF_2023-K154,,,,,,,94739.4,,No,No,Yes,,,,,,,,,,0.0015095000000000002,31.52628,-97.18326
1,Palmetto Apartments,,2235 California Street,Mountain View,CA,94040,Santa Clara,Multifamily,Garden,1964,2011,88,224560.6,Units,0.909,2023-02-04 00:00:00,Refinance,1,10,2022-12-29 00:00:00,2023-02-01 00:00:00,2033-01-01 00:00:00,19804000,19761332.51,16804854.25,0.0602,0.0586905,Actual/360,Balloon,118989.75,360,358,120,118,0,2,L(26) D(90) O(4),2022-10-27 00:00:00,46040000,0.429,0.365,1.25,,2717406.02,914887.87,1802518.15,1784918.15,12/31/2022,2779054,977392.72,1801661.28,1491168.28,12/31/2021,2485839,1155166,1330673,488680,12/31/2020,2675365,1004557,1670808,1470676,First Mortgage,Fee Simple,,,1467,2945.34,,"(i) Max combined LTV of 55.0% (ii) Min combined DSCR of 1.25x (iii) EGI of $2,798,928 and NOI of $1,838,466",,,0.016558716583002484,,,FREMF_2023-K154,,,,,,,,,No,No,Yes,,,,,,,,,,0.0015095000000000002,37.39949,-122.1011
1,Park At Northgate,,26325 Northgate Crossing Boulevard,Spring,TX,77373,Harris,Multifamily,Garden,2002,2022,248,77858.87,Units,0.944,2022-10-06 00:00:00,Acquisition,1,10,2022-11-14 00:00:00,2023-01-01 00:00:00,2032-12-01 00:00:00,19309000,19309000,18341687.21,0.0438,0.0424905,Actual/360,Partial IO,89951.48,420,420,120,117,72,3,L(27) D(89) O(4),2022-07-05 00:00:00,43000000,0.449,0.427,1.25,1.57,3764119.94,2377586.37,1386533.57,1349333.57,2022-09-30 00:00:00,3629148,1932835,1696313,1696313,12/31/2021,3462021,1908833,1553188,1553188,12/31/2020,3386893,1936709,1450184,1450184,First Mortgage,Fee Simple,,,3100,1187,,"(i) Max combined LTV of 55.0% (ii) Min combined DSCR of 1.25x (iii) EGI of $3,877,044 and NOI of $1,389,814",,Group 1,0.016179691239920083,,,FREMF_2023-K154,,,,,,,71456.71,,No,No,Yes,,,,,,,,,,0.0013095000000000001,30.10516,-95.42773
